DATETIME,PREDICTEDDEMAND
2021-09-02,8444.731
2021-09-03,8392.674
2021-09-04,8264.216
2021-09-05,7992.9
2021-09-06,7727.572
2021-09-07,8167.411
2021-09-08,8500.531
2021-09-09,7588.494
2021-09-10,7563.261
2021-09-11,7348.731
2021-09-12,7059.351
2021-09-13,6961.4883
2021-09-14,7266.651
2021-09-15,7478.1987
2021-09-16,7787.0435
2021-09-17,7872.302
2021-09-18,7634.96
2021-09-19,7121.8584
2021-09-20,6796.14
2021-09-21,7094.255
2021-09-22,7499.266
2021-09-23,7545.1465
2021-09-24,7693.8667
2021-09-25,7630.448
2021-09-26,7271.778
2021-09-27,6889.9087
2021-09-28,6840.447
2021-09-29,7156.4756
2021-09-30,7679.753
2021-10-01,7658.3345
2021-10-02,7331.021
2021-10-03,6915.136
2021-10-04,6784.2373
2021-10-05,7216.8813
2021-10-06,7490.6094
2021-10-07,7231.089
2021-10-08,7566.2754
2021-10-09,7654.6875
2021-10-10,7413.7534
2021-10-11,6904.747
2021-10-12,6587.637
2021-10-13,6599.6714
2021-10-14,7703.437
2021-10-15,7670.9785
2021-10-16,7327.046
2021-10-17,6897.0464
2021-10-18,6866.7188
2021-10-19,7335.3135
2021-10-20,7571.319
2021-10-21,7653.9634
2021-10-22,7820.2715
2021-10-23,7696.674
2021-10-24,7193.4155
2021-10-25,6784.892
2021-10-26,6777.0454
2021-10-27,7192.2793
2021-10-28,7350.097
2021-10-29,7504.463
2021-10-30,7424.2554
2021-10-31,7119.6597
2021-11-01,6809.529
2021-11-02,6792.6655
2021-11-03,7060.39
2021-11-04,7527.0166
2021-11-05,7685.9663
2021-11-06,7639.839
2021-11-07,7305.869
2021-11-08,6931.202
2021-11-09,6869.354
2021-11-10,7181.174
2021-11-11,7445.4204
2021-11-12,7562.3716
2021-11-13,7527.4185
2021-11-14,7326.02
2021-11-15,7085.4546
2021-11-16,7055.6924
2021-11-17,7276.939
2021-11-18,7444.875
2021-11-19,7708.15
2021-11-20,7774.854
2021-11-21,7532.5435
2021-11-22,7041.432
2021-11-23,6732.2095
2021-11-24,6778.7217
2021-11-25,7076.237
2021-11-26,7099.9497
2021-11-27,7126.508
2021-11-28,7160.753
2021-11-29,7210.6304
2021-11-30,7243.3765
2021-12-01,7247.684
2021-12-02,7479.0903
2021-12-03,7708.012
2021-12-04,7776.1924
2021-12-05,7636.109
2021-12-06,7253.928
2021-12-07,6961.986
2021-12-08,6954.876
2021-12-09,7744.3066
2021-12-10,7861.172
2021-12-11,7789.831
2021-12-12,7453.9297
2021-12-13,7114.7974
2021-12-14,7086.9014
2021-12-15,7543.8687
2021-12-16,7601.8228
2021-12-17,7810.945
2021-12-18,7813.931
2021-12-19,7498.2896
2021-12-20,7040.0537
2021-12-21,6824.9365
2021-12-22,7002.0586
2021-12-23,8200.81
2021-12-24,8141.3643
2021-12-25,8078.0225
2021-12-26,7987.4565
2021-12-27,7967.38
2021-12-28,8085.6753
2021-12-29,8205.023
2021-12-30,7430.652
2021-12-31,7724.412
2022-01-01,7814.923
2022-01-02,7697.215
2022-01-03,7372.832
2022-01-04,7195.226
2022-01-05,7214.107
2022-01-06,7017.101
2022-01-07,7066.3433
2022-01-08,7304.367
2022-01-09,7477.3286
2022-01-10,7562.6743
2022-01-11,7562.8047
2022-01-12,7496.228
2022-01-13,8490.212
2022-01-14,8406.679
2022-01-15,8202.696
2022-01-16,7849.5845
2022-01-17,7562.2036
2022-01-18,7996.2305
2022-01-19,8353.497
2022-01-20,8884.444
2022-01-21,8687.858
2022-01-22,8420.488
2022-01-23,8039.358
2022-01-24,7726.53
2022-01-25,8158.933
2022-01-26,8542.715
2022-01-27,7954.3354
2022-01-28,7982.3125
2022-01-29,7846.49
2022-01-30,7508.2183
2022-01-31,7278.408
2022-02-01,7663.161
2022-02-02,8004.9424
2022-02-03,8682.043
2022-02-04,8365.49
2022-02-05,8114.725
2022-02-06,7903.3975
2022-02-07,8204.021
2022-02-08,8480.164
2022-02-09,8543.148
2022-02-10,7725.2217
2022-02-11,7760.6934
2022-02-12,7644.19
2022-02-13,7426.3853
2022-02-14,7439.7114
2022-02-15,7816.137
2022-02-16,8032.0923
2022-02-17,7885.735
2022-02-18,8018.9756
2022-02-19,7982.7646
2022-02-20,7723.2476
2022-02-21,7367.9443
2022-02-22,7333.863
2022-02-23,7766.619
2022-02-24,8437.702
2022-02-25,8416.432
2022-02-26,8236.885
2022-02-27,7871.846
2022-02-28,7531.565
2022-03-01,7839.8394
2022-03-02,8286.832
2022-03-03,8255.117
2022-03-04,8301.162
2022-03-05,8176.5195
2022-03-06,7834.785
2022-03-07,7465.128
2022-03-08,7581.171
2022-03-09,8121.0605
2022-03-10,8399.848
2022-03-11,8406.553
2022-03-12,8260.337
2022-03-13,7919.2603
2022-03-14,7548.268
2022-03-15,7662.8345
2022-03-16,8195.084
2022-03-17,7715.273
2022-03-18,7804.8833
2022-03-19,7706.5903
2022-03-20,7374.2534
2022-03-21,7074.441
2022-03-22,7165.5107
2022-03-23,7601.31
2022-03-24,7803.3345
2022-03-25,7996.6147
2022-03-26,8004.0825
2022-03-27,7773.309
2022-03-28,7362.168
2022-03-29,7172.67
2022-03-30,7426.4624
2022-03-31,7868.8374
2022-04-01,7959.621
2022-04-02,7891.7944
2022-04-03,7592.813
2022-04-04,7254.9116
2022-04-05,7276.6025
2022-04-06,7767.5854
2022-04-07,7687.2246
2022-04-08,7894.1084
2022-04-09,7901.216
2022-04-10,7632.4033
2022-04-11,7201.399
2022-04-12,6971.1978
2022-04-13,7144.4595
2022-04-14,7688.1997
2022-04-15,7879.8223
2022-04-16,7918.89
2022-04-17,7751.848
2022-04-18,7357.615
2022-04-19,7105.617
2022-04-20,7236.9595
2022-04-21,7465.361
2022-04-22,7648.1304
2022-04-23,7579.887
2022-04-24,7179.3423
2022-04-25,6783.411
2022-04-26,6719.59
2022-04-27,7005.076
2022-04-28,7228.7637
2022-04-29,7456.883
2022-04-30,7528.0664
2022-05-01,7403.665
2022-05-02,7113.4604
2022-05-03,6885.567
2022-05-04,6876.2197
2022-05-05,7826.1577
2022-05-06,7986.17
2022-05-07,7957.6553
2022-05-08,7661.3423
2022-05-09,7257.396
2022-05-10,7096.0684
2022-05-11,7468.844
2022-05-12,8136.6323
2022-05-13,8140.4976
2022-05-14,7986.2734
2022-05-15,7609.272
2022-05-16,7252.5244
2022-05-17,7471.698
2022-05-18,7941.1055
2022-05-19,7982.369
2022-05-20,8159.316
2022-05-21,8138.693
2022-05-22,7883.014
2022-05-23,7485.4834
2022-05-24,7387.3965
2022-05-25,7779.0786
2022-05-26,8380.721
2022-05-27,8360.76
2022-05-28,8350.508
2022-05-29,8305.688
2022-05-30,8315.459
2022-05-31,8457.537
2022-06-01,8561.066
2022-06-02,9380.959
2022-06-03,9238.806
2022-06-04,9007.421
2022-06-05,8601.145
2022-06-06,8227.044
2022-06-07,8739.133
2022-06-08,9167.742
2022-06-09,9342.447
2022-06-10,9204.835
2022-06-11,9040.896
2022-06-12,8737.547
2022-06-13,8410.476
2022-06-14,8696.878
2022-06-15,9069.648
2022-06-16,9126.688
2022-06-17,9120.159
2022-06-18,9068.464
2022-06-19,8852.309
2022-06-20,8564.875
2022-06-21,8459.232
2022-06-22,8852.392
2022-06-23,9029.078
2022-06-24,8902.473
2022-06-25,8783.376
2022-06-26,8578.317
2022-06-27,8396.936
2022-06-28,8735.978
2022-06-29,8956.038
2022-06-30,9417.236
2022-07-01,9312.783
2022-07-02,9133.994
2022-07-03,8758.881
2022-07-04,8344.909
2022-07-05,8620.405
2022-07-06,9101.441
2022-07-07,8916.968
2022-07-08,8836.445
2022-07-09,8830.637
2022-07-10,8806.381
2022-07-11,8811.405
2022-07-12,8838.823
2022-07-13,8881.727
2022-07-14,9289.204
2022-07-15,9076.009
2022-07-16,8919.947
2022-07-17,8690.261
2022-07-18,8534.468
2022-07-19,8943.242
2022-07-20,9130.422
2022-07-21,9334.941
2022-07-22,9315.127
2022-07-23,9240.565
2022-07-24,8980.744
2022-07-25,8652.554
2022-07-26,8512.978
2022-07-27,8919.881
2022-07-28,9200.765
2022-07-29,9161.892
2022-07-30,9075.591
2022-07-31,8826.536
2022-08-01,8514.436
2022-08-02,8464.566
2022-08-03,8922.715
